city,timestamp,temperature_c,humidity_percent,heatwave_alert,rainfall_mm,current_load_percent,peak_load_percent,historical_failure_rate_percent,transformer_age_years,pressure_variance_percent,pipeline_age_years,recent_repairs_last_30_days,congestion_index,signal_failure_reports_last_7_days,population_density_per_km2,scenario_type,overall_failure_72h_label,power_failure_72h_label,transformer_overload_72h_label,water_failure_72h_label,traffic_failure_72h_label
Metrovale,2025-01-01T00:00:00+00:00,31.4,54.9,False,13.7,76.7,84.1,8.1,21.4,12.9,29.3,1,67.3,6,11200.0,baseline,0,1,0,0,1
Riverton,2025-01-01T01:00:00+00:00,43.4,59.3,True,3.6,87.4,95.7,13.7,9.2,24.5,16.1,3,83.8,1,8400.0,heatwave,0,1,1,1,1
Northbridge,2025-01-01T02:00:00+00:00,26.0,45.9,False,0.6,71.9,80.3,6.6,10.9,29.0,28.1,1,92.2,6,16360.3,high_density,1,0,0,0,1
Sunport,2025-01-01T03:00:00+00:00,22.1,67.0,False,53.1,63.9,82.6,17.1,31.5,58.9,11.5,10,57.4,4,13200.0,failure_event,1,1,1,1,1
Crestfield,2025-01-01T04:00:00+00:00,43.2,54.2,True,49.9,88.8,94.7,26.6,21.2,47.5,23.0,7,81.8,6,14142.6,compound,1,1,0,0,1
Lakehurst,2025-01-01T05:00:00+00:00,25.3,72.8,False,17.1,63.0,82.4,11.8,12.7,25.2,17.4,1,56.1,3,10100.0,baseline,1,1,1,1,0
Bayhaven,2025-01-01T06:00:00+00:00,42.8,58.1,True,3.5,90.2,97.0,12.1,21.8,26.6,16.1,1,82.3,2,14500.0,heatwave,1,0,1,0,1
Ironwood,2025-01-01T07:00:00+00:00,29.5,66.8,False,5.1,71.3,72.4,5.6,16.1,38.3,22.6,4,93.5,16,11787.3,high_density,1,1,1,1,1
Stonegate,2025-01-01T08:00:00+00:00,29.6,63.7,False,81.2,66.9,79.5,24.0,32.4,42.1,28.5,7,73.6,3,11700.0,failure_event,1,1,1,1,0
Hillford,2025-01-01T09:00:00+00:00,38.8,43.4,True,76.7,88.0,96.1,19.8,24.3,44.0,33.5,10,87.2,16,17553.2,compound,1,1,1,1,1
Metrovale,2025-01-01T10:00:00+00:00,27.7,50.6,False,9.6,71.8,84.3,7.5,10.2,10.0,33.6,4,67.3,1,11200.0,baseline,1,1,0,0,0
Riverton,2025-01-01T11:00:00+00:00,44.0,33.2,True,3.5,95.3,92.8,14.5,11.9,13.7,14.2,0,84.6,4,8400.0,heatwave,0,1,1,0,1
Northbridge,2025-01-01T12:00:00+00:00,29.2,73.1,False,2.6,56.3,74.1,12.6,18.8,26.9,28.9,1,83.5,13,12874.8,high_density,0,1,1,0,1
Sunport,2025-01-01T13:00:00+00:00,25.3,45.3,False,65.6,58.5,76.6,19.3,39.9,42.1,25.3,9,76.9,5,13200.0,failure_event,1,1,1,1,1
Crestfield,2025-01-01T14:00:00+00:00,42.4,31.9,True,39.7,89.8,97.8,24.7,38.6,55.8,14.9,9,87.6,13,15456.3,compound,1,1,1,1,1
Lakehurst,2025-01-01T15:00:00+00:00,24.2,54.8,False,15.7,77.7,74.7,12.0,10.4,23.7,31.8,0,69.7,5,10100.0,baseline,1,1,0,0,0
Bayhaven,2025-01-01T16:00:00+00:00,41.1,32.2,True,5.6,93.0,97.2,13.5,11.0,23.4,22.4,4,87.6,3,14500.0,heatwave,1,1,1,1,1
Ironwood,2025-01-01T17:00:00+00:00,26.5,36.1,False,13.9,58.6,76.5,7.4,14.5,40.2,20.3,2,92.4,12,15325.1,high_density,1,0,1,1,1
Stonegate,2025-01-01T18:00:00+00:00,24.5,68.5,False,46.1,69.4,81.5,18.0,21.5,54.5,21.7,8,64.9,1,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-01T19:00:00+00:00,40.4,36.7,True,39.4,96.4,94.7,27.1,35.5,59.8,27.4,6,81.0,15,15148.1,compound,1,1,1,1,0
Metrovale,2025-01-01T20:00:00+00:00,20.5,45.7,False,19.8,56.2,86.5,13.3,11.7,22.6,17.7,2,77.6,4,11200.0,baseline,0,0,1,0,0
Riverton,2025-01-01T21:00:00+00:00,40.6,51.8,True,7.9,92.5,94.5,12.3,10.3,19.8,11.6,0,81.5,6,8400.0,heatwave,1,1,1,1,0
Northbridge,2025-01-01T22:00:00+00:00,21.6,60.1,False,0.6,76.1,77.6,14.0,20.2,25.3,19.4,0,78.6,14,14880.8,high_density,1,1,1,0,1
Sunport,2025-01-01T23:00:00+00:00,21.4,56.7,False,87.8,67.9,86.1,24.0,38.2,56.9,26.6,4,60.7,6,13200.0,failure_event,1,1,1,1,1
Crestfield,2025-01-02T00:00:00+00:00,45.0,54.0,True,51.1,93.2,92.6,23.4,34.8,43.7,10.5,10,95.7,6,16216.9,compound,1,1,1,1,1
Lakehurst,2025-01-02T01:00:00+00:00,30.5,71.2,False,6.5,64.9,70.4,14.5,20.4,16.1,16.5,4,58.5,6,10100.0,baseline,1,1,1,1,1
Bayhaven,2025-01-02T02:00:00+00:00,45.8,35.9,True,1.5,88.6,100.0,5.6,21.5,21.1,14.2,3,86.5,1,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-02T03:00:00+00:00,34.1,39.2,False,6.4,76.3,72.2,12.3,13.2,24.7,32.4,0,84.1,9,17123.5,high_density,1,0,1,0,1
Stonegate,2025-01-02T04:00:00+00:00,31.4,39.4,False,48.8,71.8,87.6,23.3,23.3,33.2,16.2,5,69.2,3,11700.0,failure_event,1,1,0,1,1
Hillford,2025-01-02T05:00:00+00:00,43.3,42.2,True,65.3,90.0,96.0,21.2,21.2,33.5,18.5,5,94.5,6,14902.9,compound,1,1,1,1,1
Metrovale,2025-01-02T06:00:00+00:00,33.7,42.4,False,16.8,70.6,85.5,9.5,21.6,28.6,30.3,0,71.9,2,11200.0,baseline,0,0,1,0,1
Riverton,2025-01-02T07:00:00+00:00,43.0,26.0,True,2.8,96.6,94.2,14.2,14.2,11.9,17.2,4,75.4,3,8400.0,heatwave,1,1,1,0,0
Northbridge,2025-01-02T08:00:00+00:00,27.8,38.7,False,10.8,62.5,79.0,9.6,18.9,43.5,24.4,4,80.4,6,16429.5,high_density,1,0,1,1,1
Sunport,2025-01-02T09:00:00+00:00,24.8,60.8,False,83.9,73.9,73.7,17.1,26.6,32.8,19.1,9,61.9,4,13200.0,failure_event,1,0,1,1,0
Crestfield,2025-01-02T10:00:00+00:00,45.3,44.7,True,63.2,92.0,96.2,18.3,38.7,59.0,23.7,4,87.3,9,15542.3,compound,1,1,1,0,1
Lakehurst,2025-01-02T11:00:00+00:00,24.6,66.5,False,8.1,64.1,88.0,12.3,17.0,25.8,12.0,1,62.6,5,10100.0,baseline,1,1,0,0,0
Bayhaven,2025-01-02T12:00:00+00:00,42.4,42.9,True,1.6,88.7,94.3,14.8,11.3,18.1,17.7,3,82.7,4,14500.0,heatwave,0,1,1,0,1
Ironwood,2025-01-02T13:00:00+00:00,28.2,61.0,False,14.8,67.1,82.9,11.6,14.2,34.9,30.7,4,80.1,10,12263.7,high_density,1,1,1,0,1
Stonegate,2025-01-02T14:00:00+00:00,26.7,65.6,False,87.2,76.4,81.7,21.0,30.3,47.6,33.3,6,55.9,6,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-02T15:00:00+00:00,44.7,49.8,True,44.6,95.5,99.9,27.1,34.9,35.0,11.9,7,88.6,6,11850.0,compound,1,1,1,1,1
Metrovale,2025-01-02T16:00:00+00:00,34.4,57.5,False,10.7,72.6,88.3,6.5,13.3,11.5,27.1,0,60.4,1,11200.0,baseline,0,0,1,1,1
Riverton,2025-01-02T17:00:00+00:00,41.8,45.5,True,4.8,89.0,98.4,13.9,14.3,22.0,29.9,1,71.8,4,8400.0,heatwave,1,1,1,1,1
Northbridge,2025-01-02T18:00:00+00:00,28.9,47.7,False,3.3,78.4,80.9,4.7,21.5,40.7,29.9,3,87.1,11,14169.8,high_density,1,1,1,0,1
Sunport,2025-01-02T19:00:00+00:00,32.8,71.3,False,40.0,61.6,85.8,17.3,29.3,42.2,19.2,8,45.3,6,13200.0,failure_event,1,1,1,0,1
Crestfield,2025-01-02T20:00:00+00:00,39.1,42.9,True,69.1,94.2,97.0,27.3,39.8,53.5,17.4,5,92.0,8,11546.9,compound,1,1,1,0,1
Lakehurst,2025-01-02T21:00:00+00:00,27.2,66.1,False,8.9,62.6,88.0,9.5,16.2,17.2,18.2,3,54.7,4,10100.0,baseline,0,1,1,0,1
Bayhaven,2025-01-02T22:00:00+00:00,43.2,32.1,True,1.2,91.8,97.4,6.1,19.8,25.8,33.7,0,70.3,3,14500.0,heatwave,1,1,0,0,0
Ironwood,2025-01-02T23:00:00+00:00,21.6,46.5,False,1.5,72.0,78.1,7.0,9.4,34.1,29.2,4,86.1,7,14012.6,high_density,0,1,0,1,1
Stonegate,2025-01-03T00:00:00+00:00,21.1,71.5,False,55.4,60.5,86.8,22.2,26.9,33.6,25.7,4,55.2,2,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-03T01:00:00+00:00,41.4,51.2,True,62.4,87.5,96.5,18.4,23.9,45.7,24.9,7,78.4,13,16848.6,compound,1,1,1,1,1
Metrovale,2025-01-03T02:00:00+00:00,27.8,43.8,False,4.9,60.6,74.7,7.2,21.6,21.0,30.4,1,50.9,6,11200.0,baseline,0,0,1,1,1
Riverton,2025-01-03T03:00:00+00:00,43.3,25.3,True,3.7,92.9,99.6,10.0,20.0,12.4,29.9,1,83.7,4,8400.0,heatwave,1,1,1,1,1
Northbridge,2025-01-03T04:00:00+00:00,20.1,49.9,False,10.4,81.9,82.9,8.2,8.5,26.9,19.5,3,89.2,8,17572.8,high_density,1,0,1,1,1
Sunport,2025-01-03T05:00:00+00:00,24.2,43.0,False,67.7,60.9,70.2,24.3,22.1,40.2,24.9,7,69.8,2,13200.0,failure_event,1,1,1,1,1
Crestfield,2025-01-03T06:00:00+00:00,41.8,29.3,True,36.0,91.1,96.5,15.3,37.4,30.2,31.5,8,88.7,15,17777.3,compound,1,1,1,1,1
Lakehurst,2025-01-03T07:00:00+00:00,23.8,61.6,False,6.9,67.3,83.7,12.4,21.2,19.2,33.1,1,75.7,1,10100.0,baseline,1,1,1,0,0
Bayhaven,2025-01-03T08:00:00+00:00,42.8,26.0,True,4.6,94.0,99.9,6.2,10.0,12.4,34.4,3,86.9,5,14500.0,heatwave,1,1,1,1,1
Ironwood,2025-01-03T09:00:00+00:00,29.2,44.4,False,15.5,65.9,76.0,6.2,21.8,22.7,20.5,1,95.9,13,14202.6,high_density,1,1,1,0,1
Stonegate,2025-01-03T10:00:00+00:00,34.2,68.8,False,57.5,81.5,76.7,17.7,35.0,50.6,26.4,6,73.7,1,11700.0,failure_event,1,1,1,1,0
Hillford,2025-01-03T11:00:00+00:00,39.1,53.6,True,37.1,90.1,97.7,20.8,21.6,30.5,29.6,6,95.6,10,13556.0,compound,1,0,1,0,1
Metrovale,2025-01-03T12:00:00+00:00,24.9,50.8,False,1.3,60.1,84.9,6.1,16.8,26.0,20.7,1,55.8,1,11200.0,baseline,0,1,1,0,0
Riverton,2025-01-03T13:00:00+00:00,40.4,42.9,True,5.1,87.6,93.4,13.6,17.4,17.8,32.8,4,89.8,4,8400.0,heatwave,1,1,1,1,1
